epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8705,3.18939,3.97418,4.20196,0.00198,0.48333,0.02395,0.00587,3.28221,4.47613,3.92455,0.000473048,0.000473048,0.000473048
2,49.4947,3.05854,3.74701,3.83379,0.00437,0.06389,0.00435,0.00104,3.2421,12.6238,3.719,0.00094416,0.00094416,0.00094416
3,72.6911,2.78581,3.49615,3.47458,0.17763,0.09167,0.044,0.00996,2.93471,6.78977,4.21388,0.00141003,0.00141003,0.00141003
4,96.2271,2.57766,3.28876,3.2035,0.04315,0.25833,0.06811,0.01705,2.61584,4.70626,3.25901,0.00140542,0.00140542,0.00140542
5,119.688,2.41616,3.18812,3.03759,0.05218,0.40833,0.05447,0.0153,2.32537,4.31877,2.98384,0.00139756,0.00139756,0.00139756
6,143.257,2.20089,2.91305,2.88613,0.22138,0.38335,0.20682,0.09619,1.97768,3.15392,2.67809,0.0013897,0.0013897,0.0013897
7,166.598,2.10777,2.861,2.75761,0.17111,0.33889,0.18237,0.08923,2.18249,3.17457,2.76454,0.00138184,0.00138184,0.00138184
8,189.966,1.97475,2.66924,2.59105,0.10991,0.25833,0.1238,0.03773,2.54751,3.85941,2.94797,0.00137398,0.00137398,0.00137398
9,213.29,1.9221,2.60737,2.54193,0.06088,0.43056,0.07402,0.02493,2.31151,3.62472,2.93621,0.00136612,0.00136612,0.00136612
10,236.769,1.81758,2.51054,2.4531,0.22947,0.46944,0.21323,0.10183,1.91675,3.01273,2.51064,0.00135826,0.00135826,0.00135826
11,260.467,1.72147,2.37627,2.33352,0.42163,0.55358,0.35214,0.17121,1.96165,2.49439,2.38363,0.0013504,0.0013504,0.0013504
12,284.182,1.68803,2.32688,2.27654,0.39153,0.52914,0.34605,0.22301,1.6367,2.57389,2.2073,0.00134255,0.00134255,0.00134255
13,307.798,1.68346,2.26002,2.21402,0.49619,0.625,0.38678,0.22693,1.60043,2.5747,2.19201,0.00133469,0.00133469,0.00133469
14,331.276,1.60893,2.17489,2.17975,0.37338,0.57102,0.36229,0.22166,1.64318,2.69685,2.20731,0.00132683,0.00132683,0.00132683
15,354.926,1.54862,2.06459,2.0984,0.46249,0.58056,0.41593,0.23165,1.54031,2.29201,2.01781,0.00131897,0.00131897,0.00131897
16,378.814,1.51413,2.05141,2.06562,0.33763,0.30833,0.29079,0.16647,1.628,2.6713,2.28226,0.00131111,0.00131111,0.00131111
17,405.124,1.46817,1.96058,2.0306,0.30164,0.44722,0.34128,0.22365,1.43121,2.39656,2.04625,0.00130325,0.00130325,0.00130325
18,434.322,1.46371,1.9372,2.0073,0.33017,0.53475,0.36011,0.21877,1.38393,2.28129,1.91214,0.00129539,0.00129539,0.00129539
19,459.924,1.44885,1.88736,1.96774,0.24206,0.51575,0.27069,0.14624,1.50202,2.78954,2.05279,0.00128753,0.00128753,0.00128753
20,486.126,1.39295,1.83891,1.93316,0.4058,0.51306,0.41288,0.25798,1.39195,1.97086,1.91315,0.00127967,0.00127967,0.00127967
21,510.947,1.35264,1.81454,1.90063,0.32949,0.6,0.3897,0.25935,1.312,2.23715,1.84908,0.00127181,0.00127181,0.00127181
22,538.069,1.36341,1.8327,1.88899,0.46726,0.48056,0.4358,0.23404,1.63509,2.11793,2.08155,0.00126395,0.00126395,0.00126395
23,563.075,1.33197,1.72804,1.86236,0.48241,0.44722,0.43536,0.26972,1.40111,1.93842,1.90355,0.00125609,0.00125609,0.00125609
24,587.691,1.27621,1.7293,1.81351,0.44542,0.78611,0.4542,0.29468,1.28217,2.03096,1.83461,0.00124823,0.00124823,0.00124823
25,612.129,1.2693,1.6373,1.81076,0.52318,0.54444,0.51489,0.33412,1.38657,1.89486,1.85688,0.00124037,0.00124037,0.00124037
26,640.262,1.27756,1.6748,1.81225,0.51036,0.54444,0.43953,0.30456,1.16106,1.85183,1.75489,0.00123251,0.00123251,0.00123251
27,668.916,1.30549,1.65606,1.81559,0.50962,0.43841,0.44913,0.25764,1.4879,1.9538,1.94485,0.00122465,0.00122465,0.00122465
28,696.628,1.26018,1.62439,1.78556,0.45559,0.64167,0.47261,0.30506,1.35951,1.7288,1.78099,0.00121679,0.00121679,0.00121679
29,723.563,1.2384,1.59945,1.76611,0.47408,0.49167,0.44964,0.28243,1.38798,1.70888,1.88315,0.00120893,0.00120893,0.00120893
30,748.65,1.2487,1.60251,1.77331,0.51655,0.46614,0.46194,0.25101,1.66515,1.68471,1.99485,0.00120107,0.00120107,0.00120107
31,773.355,1.20615,1.53,1.73309,0.54291,0.66404,0.51112,0.34627,1.22145,1.67514,1.73127,0.00119322,0.00119322,0.00119322
32,797.841,1.19826,1.54128,1.71181,0.48873,0.61944,0.4755,0.33649,1.16484,1.66321,1.70791,0.00118536,0.00118536,0.00118536
33,823.855,1.21836,1.55221,1.7342,0.47118,0.67367,0.49077,0.29542,1.39711,1.69996,1.80436,0.0011775,0.0011775,0.0011775
34,863.105,1.18641,1.48475,1.69407,0.60493,0.65,0.52843,0.35668,1.17651,1.58185,1.70744,0.00116964,0.00116964,0.00116964
35,891.797,1.22343,1.50968,1.72644,0.52048,0.70566,0.49465,0.33418,1.21941,1.73003,1.70314,0.00116178,0.00116178,0.00116178
36,930.646,1.21811,1.47975,1.72336,0.46596,0.73188,0.47068,0.32194,1.21947,1.81957,1.80981,0.00115392,0.00115392,0.00115392
37,956.641,1.182,1.46433,1.70848,0.48936,0.71928,0.50109,0.35041,1.25522,1.58184,1.7471,0.00114606,0.00114606,0.00114606
38,981.837,1.17126,1.4474,1.6805,0.43159,0.64576,0.50427,0.24432,1.72242,1.74019,2.07782,0.0011382,0.0011382,0.0011382
39,1007.44,1.2205,1.49895,1.72178,0.59667,0.54944,0.4985,0.32507,1.33737,1.53445,1.81522,0.00113034,0.00113034,0.00113034
40,1034.71,1.16104,1.45381,1.66935,0.51104,0.64889,0.4859,0.36598,1.09251,1.71388,1.6522,0.00112248,0.00112248,0.00112248
41,1060.25,1.14393,1.41781,1.65387,0.44605,0.63773,0.47169,0.28538,1.33608,1.63458,1.75536,0.00111462,0.00111462,0.00111462
42,1085.65,1.13229,1.42271,1.64494,0.55486,0.6484,0.50806,0.35207,1.13441,1.489,1.6356,0.00110676,0.00110676,0.00110676
43,1111.16,1.11764,1.33365,1.62459,0.51533,0.73056,0.51716,0.39735,1.01856,1.41941,1.56525,0.0010989,0.0010989,0.0010989
44,1136.05,1.12793,1.37175,1.62425,0.52541,0.6515,0.55894,0.38501,1.11401,1.42988,1.60895,0.00109104,0.00109104,0.00109104
45,1161.2,1.11038,1.34019,1.61777,0.6788,0.55556,0.59065,0.41114,1.07891,1.38758,1.61014,0.00108318,0.00108318,0.00108318
46,1185.75,1.10968,1.3527,1.63732,0.466,0.71944,0.49502,0.30616,1.34593,1.48973,1.82537,0.00107532,0.00107532,0.00107532
47,1211.63,1.10574,1.33379,1.61078,0.63104,0.69056,0.56698,0.38523,1.21784,1.36718,1.7088,0.00106746,0.00106746,0.00106746
48,1238.59,1.09207,1.30803,1.6231,0.58043,0.6826,0.58465,0.38528,1.36242,1.56042,1.78187,0.0010596,0.0010596,0.0010596
49,1265.67,1.10803,1.31752,1.60676,0.57187,0.75556,0.53045,0.37479,1.24595,1.55114,1.69749,0.00105174,0.00105174,0.00105174
50,1291.16,1.10563,1.31986,1.60809,0.53543,0.7623,0.55826,0.36999,1.27834,1.44506,1.73944,0.00104388,0.00104388,0.00104388
51,1317.37,1.07263,1.30158,1.59298,0.61891,0.73472,0.61732,0.42116,1.33851,1.3745,1.75482,0.00103602,0.00103602,0.00103602
52,1344.03,1.11053,1.29016,1.60503,0.60092,0.79915,0.57398,0.3732,1.33931,1.41843,1.73326,0.00102817,0.00102817,0.00102817
53,1370.82,1.09782,1.26157,1.61513,0.52267,0.78717,0.54205,0.35103,1.24737,1.40955,1.68839,0.00102031,0.00102031,0.00102031
54,1395.92,1.05713,1.24786,1.56252,0.72164,0.59627,0.63413,0.42346,1.34378,1.42666,1.78086,0.00101245,0.00101245,0.00101245
55,1420.95,1.07834,1.2457,1.58113,0.68545,0.69302,0.66721,0.48908,1.1372,1.2915,1.60041,0.00100459,0.00100459,0.00100459
56,1445.75,1.06012,1.23118,1.56715,0.61994,0.616,0.59446,0.4158,1.27395,1.43863,1.71853,0.000996727,0.000996727,0.000996727
57,1470.94,1.0446,1.21376,1.55647,0.70222,0.63929,0.65018,0.50159,1.06638,1.37645,1.5973,0.000988868,0.000988868,0.000988868
58,1496.99,1.08699,1.23029,1.58118,0.64278,0.77726,0.63891,0.44308,1.209,1.50819,1.66842,0.000981008,0.000981008,0.000981008
59,1523.47,1.03092,1.21093,1.54487,0.73901,0.60612,0.66129,0.49193,1.12458,1.2579,1.61353,0.000973149,0.000973149,0.000973149
60,1549.48,1.0403,1.23129,1.55032,0.69755,0.683,0.72749,0.55293,0.9786,1.30488,1.56382,0.00096529,0.00096529,0.00096529
61,1575.68,1.03788,1.22656,1.55247,0.72861,0.6647,0.66914,0.46808,1.22928,1.27553,1.66924,0.00095743,0.00095743,0.00095743
62,1601.58,1.00437,1.16155,1.51628,0.73769,0.625,0.70019,0.48394,1.28317,1.35929,1.7298,0.00094957,0.00094957,0.00094957
63,1627.15,1.0519,1.19149,1.55032,0.69035,0.64409,0.60364,0.43533,1.18731,1.52783,1.67985,0.000941711,0.000941711,0.000941711
64,1653.14,1.04477,1.16981,1.52899,0.63893,0.68056,0.70677,0.51011,1.18364,1.47351,1.63365,0.000933851,0.000933851,0.000933851
65,1678.89,1.0356,1.19982,1.52528,0.71871,0.66255,0.61935,0.45373,1.21952,1.34672,1.67594,0.000925992,0.000925992,0.000925992
66,1704.67,1.05668,1.18199,1.55073,0.74857,0.67561,0.62476,0.43032,1.15242,1.27391,1.62269,0.000918132,0.000918132,0.000918132
67,1730.42,0.99185,1.11825,1.51724,0.67924,0.52892,0.63708,0.50168,1.03754,1.42086,1.5374,0.000910273,0.000910273,0.000910273
68,1759.07,1.0274,1.1497,1.53664,0.77767,0.64232,0.75527,0.55119,1.14294,1.26066,1.60728,0.000902413,0.000902413,0.000902413
69,1784.9,1.01687,1.11608,1.53384,0.63696,0.7,0.62377,0.46012,1.06067,1.27954,1.55743,0.000894554,0.000894554,0.000894554
70,1810.15,1.01487,1.15076,1.53868,0.66017,0.66944,0.69686,0.52877,1.11683,1.4066,1.61175,0.000886694,0.000886694,0.000886694
71,1835.54,0.99484,1.12191,1.50207,0.65526,0.72287,0.62254,0.4434,1.08178,1.27724,1.60623,0.000878835,0.000878835,0.000878835
72,1862.58,1.0102,1.12547,1.52067,0.71631,0.68997,0.72834,0.54764,1.15037,1.29461,1.6099,0.000870976,0.000870976,0.000870976
73,1888.64,1.02479,1.17128,1.51862,0.91687,0.59175,0.71998,0.52367,1.18851,1.19497,1.6318,0.000863116,0.000863116,0.000863116
74,1917.41,1.01221,1.12601,1.52938,0.69793,0.68765,0.70152,0.48577,1.16451,1.23872,1.62686,0.000855257,0.000855257,0.000855257
75,1944.1,0.97081,1.07536,1.48501,0.70285,0.72727,0.67302,0.52905,1.02319,1.19149,1.54093,0.000847397,0.000847397,0.000847397
76,1969.87,1.01833,1.11758,1.50678,0.83405,0.64907,0.72454,0.52493,1.17078,1.26133,1.64109,0.000839537,0.000839537,0.000839537
77,1995.53,1.02501,1.15019,1.52004,0.73381,0.6818,0.7548,0.60514,0.97627,1.13396,1.46266,0.000831678,0.000831678,0.000831678
78,2021.3,0.98614,1.111,1.49338,0.84027,0.58717,0.77146,0.59875,0.98066,1.1942,1.47981,0.000823818,0.000823818,0.000823818
79,2046.84,1.01529,1.09818,1.51832,0.81936,0.57594,0.73855,0.54966,1.13358,1.34258,1.63253,0.000815959,0.000815959,0.000815959
